"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity","Method"
"0xc1293ab2a1c550d9d868bde339edd53d6423237ef9218f2d6e60b10c22326ba7","12537632","1636570864","2021-11-10 19:01:04","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x4e26487322e6158089540a3622ac3ad9e71001d8","1,171","Buy"
"0xccb4b59f2f3e38d5c40355412904c6ce985384ca2c1a2b4ac1714008d345b5aa","12537961","1636571851","2021-11-10 19:17:31","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x85c9e9c4939881e64d4ee263a4fef55b3963e1a2","912","Buy"
"0x30a8d58ff186d00172c276b4f618ec51aef4fa3f59b72d0c9b1587a195345537","12538128","1636572352","2021-11-10 19:25:52","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xb4265926aa187a15773f92a3d693ec562c67a11f","241","Buy"
"0x9538b385a12fc42fcc148bcf9b46ba8c60fe6c1c38c28f53ab1ce4d993a7cee5","12538690","1636574040","2021-11-10 19:54:00","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xe19ca478a0aa0670ee4c80d856ac10adf8caf449","100","Buy"
"0x3234233ed8ee25d12f05260732dd8266031a364de6a1253dfaec3d9a34ab95fc","12539010","1636575017","2021-11-10 20:10:17","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x47f470b8777806b69de4355dd3e5fe29287a54d6","29","Buy"
"0xfd21053e30cf412a2db7d453b589dd59d5cdc5e54d030643d83554d2776a7128","12539251","1636575781","2021-11-10 20:23:01","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x176387cbaa5ec5af71a1d540b325431b551ff0ab","420","Buy"
"0x721978226a68ca49053274438144501a4f41625fb98419e7ecb22dd38efc923a","12539693","1636577127","2021-11-10 20:45:27","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xcdf4bd29c399f926a981a48a34ee9eeb29e9a3a3","250","Buy"
"0x59b8deb83ce6d1b0c1a5c7f948b8f5d6b0e1a8a67f18b3823ae5d5855acd3964","12539749","1636577295","2021-11-10 20:48:15","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xe79e5a5a264b1b04e998286d00c86c3bd837232d","300","Buy"
"0x7e2957994ced191d709e2782a9993628c87feac9a483728e25b791ac7feef0c6","12539774","1636577370","2021-11-10 20:49:30","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xf4eeda2289f9ec92c9fb9df73d21e5e2ec37d94a","824","Buy"
"0xf1b7ccfb1575413c8b6cfbfb3a42aeb48ba72963ec988280527d93d19673e677","12540172","1636578573","2021-11-10 21:09:33","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xbd85719f84fa77a0c5f4b98ab5fe2d2cd88e0568","10","Buy"
"0x02fd03722c39db51938897a379b89158dc439f401c4b0f73b36b9aa6ec6693d0","12540250","1636578827","2021-11-10 21:13:47","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xd5a053110330a1804cf239a6b6c2d164f894489f","703","Buy"
"0xdb480ed53abc6ad96a997746976fe2da2370e80afd451f3421991df2e0c7b9d6","12540329","1636579110","2021-11-10 21:18:30","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x5fec28539678b179d1e91474f07b026b366a975c","360","Buy"
"0x0b33dba578d4bd9efd1c75cc5cfa544971b7cfd8af44067d0a4de6910d61e44c","12540336","1636579135","2021-11-10 21:18:55","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xc80969647d0fd69f72d5e517f5bb581c7a4b2625","100","Buy"
"0xad71ff875e337599d48736c5efb2bdc850939c3bac8c6f11d0b57bde2cff3f0b","12540589","1636580004","2021-11-10 21:33:24","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0xc80969647d0fd69f72d5e517f5bb581c7a4b2625","80","Buy"
"0x7470c2aa018c4fa82db7a7369e861fdde2f3452750f277680705d50085e1e336","12540657","1636580224","2021-11-10 21:37:04","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x64725d9e84fa0bd1c772a3fca05784a9f3bd4575","7.21","Buy"
"0x1843d48a8412195ca0d7ff650c898192bc2d9038ee9e9bc9b78516c3d3c0330a","12540860","1636580856","2021-11-10 21:47:36","0x4a63f4113eb45d8f25132757005a5be5bf4951c0","0x6a6342c8341ae08695a3d9b8b394f7f2bd3d65aa","1,640","Buy"
